,antecedent,consequent,support,confidence,lift
110,"frozenset({'USO_Up', 'GLD_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.1334012219959266,2.330957230142566
111,"frozenset({'GLD_Same', 'SPX_Same'})",frozenset({'USO_Up'}),0.48623853211009177,1.0,2.6130136986301373
112,frozenset({'USO_Up'}),"frozenset({'GLD_Same', 'SLV_Up', 'SPX_Same'})",0.3735255570117955,0.976027397260274,2.6130136986301373
113,frozenset({'SLV_Up'}),"frozenset({'USO_Up', 'GLD_Same', 'SPX_Same'})",0.3735255570117955,1.0,2.0566037735849054
114,frozenset({'SPX_Same'}),"frozenset({'USO_Up', 'SLV_Up', 'GLD_Same'})",0.3735255570117955,0.7681940700808625,2.056603773584906
115,frozenset({'GLD_Same'}),"frozenset({'USO_Up', 'SLV_Up', 'SPX_Same'})",0.3735255570117955,0.870672097759674,2.330957230142566
116,"frozenset({'USO_Up', 'SLV_Up'})","frozenset({'GLD_Same', 'SPX_Same'})",0.3735255570117955,1.0,2.0566037735849054
117,"frozenset({'USO_Up', 'SPX_Same'})","frozenset({'SLV_Up', 'GLD_Same'})",0.3735255570117955,0.7681940700808625,2.056603773584906
118,"frozenset({'USO_Up', 'GLD_Same'})","frozenset({'SLV_Up', 'SPX_Same'})",0.3735255570117955,0.870672097759674,2.330957230142566
119,"frozenset({'SLV_Up', 'SPX_Same'})","frozenset({'USO_Up', 'GLD_Same'})",0.3735255570117955,1.0,2.330957230142566
120,"frozenset({'SLV_Up', 'GLD_Same'})","frozenset({'USO_Up', 'SPX_Same'})",0.3735255570117955,1.0,2.0566037735849054
121,"frozenset({'GLD_Same', 'SPX_Same'})","frozenset({'USO_Up', 'SLV_Up'})",0.3735255570117955,0.7681940700808625,2.056603773584906
122,"frozenset({'USO_Up', 'SLV_Up', 'SPX_Same'})",frozenset({'GLD_Same'}),0.3735255570117955,1.0,2.330957230142566
123,"frozenset({'USO_Up', 'SLV_Up', 'GLD_Same'})",frozenset({'SPX_Same'}),0.3735255570117955,1.0,2.0566037735849054
124,"frozenset({'USO_Up', 'GLD_Same', 'SPX_Same'})",frozenset({'SLV_Up'}),0.3735255570117955,0.7681940700808625,2.056603773584906
125,"frozenset({'GLD_Same', 'SLV_Up', 'SPX_Same'})",frozenset({'USO_Up'}),0.3735255570117955,1.0,2.6130136986301373
126,frozenset({'USO_Up'}),"frozenset({'SLV_Up', 'GLD_Same'})",0.3735255570117955,0.976027397260274,2.6130136986301373
127,frozenset({'SLV_Up'}),"frozenset({'USO_Up', 'GLD_Same'})",0.3735255570117955,1.0,2.330957230142566
128,frozenset({'GLD_Same'}),"frozenset({'USO_Up', 'SLV_Up'})",0.3735255570117955,0.870672097759674,2.330957230142566
129,"frozenset({'USO_Up', 'SLV_Up'})",frozenset({'GLD_Same'}),0.3735255570117955,1.0,2.330957230142566
130,"frozenset({'USO_Up', 'GLD_Same'})",frozenset({'SLV_Up'}),0.3735255570117955,0.870672097759674,2.330957230142566
131,"frozenset({'SLV_Up', 'GLD_Same'})",frozenset({'USO_Up'}),0.3735255570117955,1.0,2.6130136986301373
132,frozenset({'USO_Up'}),frozenset({'SPX_Same'}),0.48623853211009177,1.2705479452054795,2.613013698630137
133,frozenset({'SPX_Same'}),frozenset({'USO_Up'}),0.48623853211009177,1.0,2.6130136986301373
134,frozenset({'USO_Up'}),"frozenset({'GLD_Up', 'SPX_Same'})",0.2961992136304063,0.7739726027397261,2.6130136986301373
135,frozenset({'GLD_Up'}),"frozenset({'USO_Up', 'SPX_Same'})",0.2961992136304063,1.0,2.0566037735849054
